Ref,Val,Package,PosX,PosY,Rot,Side
"J1","TYPE_C_31_M_04","HRO_TYPE-C-31-M-04",160.020245,-107.937847,180.000000,top
"J2","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",147.320000,-109.220000,-90.000000,top
"J3","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",167.640000,-106.680000,0.000000,top
"J4","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",152.400000,-106.680000,0.000000,top
"R1","5.1k","R_0603_1608Metric",162.877000,-115.316000,0.000000,top
"R2","5.1k","R_0603_1608Metric",157.543000,-115.316000,180.000000,top
